# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d16-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d16-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d16-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d16-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d16-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d16-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d16-x01-y01
Title=\large{CMS, 13 TeV, MB, TransAVG charged-particle density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
XMax=52
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d16-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d16-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.086890e-01	3.514537e-03	3.514537e-03
1.500000e+00	2.000000e+00	1.990276e-01	9.703924e-03	9.703924e-03
2.000000e+00	2.500000e+00	3.025798e-01	2.047576e-02	2.047576e-02
2.500000e+00	3.000000e+00	4.132221e-01	3.386166e-02	3.386166e-02
3.000000e+00	3.500000e+00	5.176508e-01	4.107192e-02	4.107192e-02
3.500000e+00	4.000000e+00	6.165512e-01	4.835702e-02	4.835702e-02
4.000000e+00	4.500000e+00	7.088322e-01	4.590951e-02	4.590951e-02
4.500000e+00	5.000000e+00	7.930534e-01	4.292642e-02	4.292642e-02
5.000000e+00	6.000000e+00	8.878855e-01	2.569902e-02	2.569902e-02
6.000000e+00	7.000000e+00	1.000533e+00	1.829449e-02	1.829449e-02
7.000000e+00	8.000000e+00	1.093306e+00	1.079216e-02	1.079216e-02
8.000000e+00	9.000000e+00	1.165717e+00	8.715917e-03	8.715917e-03
9.000000e+00	1.000000e+01	1.211784e+00	9.028610e-03	9.028610e-03
1.000000e+01	1.200000e+01	1.253679e+00	1.249412e-02	1.249412e-02
1.200000e+01	1.400000e+01	1.299226e+00	1.359068e-02	1.359068e-02
1.400000e+01	1.600000e+01	1.333706e+00	1.481280e-02	1.481280e-02
1.600000e+01	1.800000e+01	1.364119e+00	1.659876e-02	1.659876e-02
1.800000e+01	2.000000e+01	1.311689e+00	1.800790e-02	1.800790e-02
2.000000e+01	2.400000e+01	1.330650e+00	1.932295e-02	1.932295e-02
2.400000e+01	2.800000e+01	1.339777e+00	2.611597e-02	2.611597e-02
2.800000e+01	3.200000e+01	1.382436e+00	3.408930e-02	3.408930e-02
3.200000e+01	3.600000e+01	1.336488e+00	4.356611e-02	4.356611e-02
3.600000e+01	4.000000e+01	1.356912e+00	5.398618e-02	5.398618e-02
4.000000e+01	4.400000e+01	1.238129e+00	6.443952e-02	6.443952e-02
4.400000e+01	4.800000e+01	1.244526e+00	8.639395e-02	8.639395e-02
4.800000e+01	5.200000e+01	1.283672e+00	1.419283e-01	1.419283e-01
5.200000e+01	5.600000e+01	1.448064e+00	1.627447e-01	1.627447e-01
5.600000e+01	6.000000e+01	1.457738e+00	1.491251e-01	1.491251e-01
6.000000e+01	6.400000e+01	1.353067e+00	1.691600e-01	1.691600e-01
6.400000e+01	6.800000e+01	1.166115e+00	2.381970e-01	2.381970e-01
6.800000e+01	7.200000e+01	1.000052e+00	1.912103e-01	1.912103e-01
7.200000e+01	8.000000e+01	1.068792e+00	2.643129e-01	2.643129e-01
# END HISTO1D


