# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
Title=\large{CMS, 13 TeV, MB, TransDIF charged-particle density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
XMax=52
YLabel=\large{$(1/N_\text{events})\; dN_\text{ch}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d15-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.382273e-01	4.334092e-03	4.334092e-03
1.500000e+00	2.000000e+00	2.063684e-01	3.666420e-03	3.666420e-03
2.000000e+00	2.500000e+00	2.672586e-01	3.396924e-03	3.396924e-03
2.500000e+00	3.000000e+00	3.208189e-01	3.990618e-03	3.990618e-03
3.000000e+00	3.500000e+00	3.646019e-01	4.048452e-03	4.048452e-03
3.500000e+00	4.000000e+00	4.095014e-01	4.973023e-03	4.973023e-03
4.000000e+00	4.500000e+00	4.436314e-01	4.965250e-03	4.965250e-03
4.500000e+00	5.000000e+00	4.739494e-01	4.243986e-03	4.243986e-03
5.000000e+00	6.000000e+00	5.087321e-01	9.090897e-03	9.090897e-03
6.000000e+00	7.000000e+00	5.496968e-01	9.966757e-03	9.966757e-03
7.000000e+00	8.000000e+00	5.790068e-01	7.055950e-03	7.055950e-03
8.000000e+00	9.000000e+00	5.989965e-01	3.150470e-03	3.150470e-03
9.000000e+00	1.000000e+01	6.201826e-01	5.093508e-03	5.093508e-03
1.000000e+01	1.200000e+01	6.336242e-01	7.499973e-03	7.499973e-03
1.200000e+01	1.400000e+01	6.496956e-01	8.245761e-03	8.245761e-03
1.400000e+01	1.600000e+01	6.879321e-01	9.517187e-03	9.517187e-03
1.600000e+01	1.800000e+01	6.974485e-01	1.105099e-02	1.105099e-02
1.800000e+01	2.000000e+01	6.671220e-01	1.251501e-02	1.251501e-02
2.000000e+01	2.400000e+01	6.814464e-01	1.347159e-02	1.347159e-02
2.400000e+01	2.800000e+01	7.398219e-01	1.751127e-02	1.751127e-02
2.800000e+01	3.200000e+01	8.730523e-01	2.494668e-02	2.494668e-02
3.200000e+01	3.600000e+01	8.135475e-01	3.930981e-02	3.930981e-02
3.600000e+01	4.000000e+01	6.777098e-01	3.714719e-02	3.714719e-02
4.000000e+01	4.400000e+01	9.188631e-01	7.247151e-02	7.247151e-02
4.400000e+01	4.800000e+01	8.234799e-01	8.554850e-02	8.554850e-02
4.800000e+01	5.200000e+01	8.092674e-01	1.097447e-01	1.097447e-01
5.200000e+01	5.600000e+01	6.364399e-01	9.309055e-02	9.309055e-02
5.600000e+01	6.000000e+01	1.065983e+00	2.347411e-01	2.347411e-01
6.000000e+01	6.400000e+01	4.252454e-01	9.558094e-02	9.558094e-02
6.400000e+01	6.800000e+01	5.019427e-01	2.665699e-01	2.665699e-01
6.800000e+01	7.200000e+01	7.594338e-01	3.366555e-01	3.366555e-01
7.200000e+01	8.000000e+01	6.304793e-01	1.630184e-01	1.630184e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/with_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
Title=with_MPI
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.452389e-01	2.481469e-04	2.481469e-04
1.500000e+00	2.000000e+00	2.156380e-01	4.008843e-04	4.008843e-04
2.000000e+00	2.500000e+00	2.765890e-01	5.761921e-04	5.761921e-04
2.500000e+00	3.000000e+00	3.269459e-01	7.531470e-04	7.531470e-04
3.000000e+00	3.500000e+00	3.723163e-01	9.300447e-04	9.300447e-04
3.500000e+00	4.000000e+00	4.129297e-01	1.101070e-03	1.101070e-03
4.000000e+00	4.500000e+00	4.463762e-01	1.270079e-03	1.270079e-03
4.500000e+00	5.000000e+00	4.794086e-01	1.465090e-03	1.465090e-03
5.000000e+00	6.000000e+00	5.177511e-01	1.244490e-03	1.244490e-03
6.000000e+00	7.000000e+00	5.553702e-01	1.558184e-03	1.558184e-03
7.000000e+00	8.000000e+00	5.867955e-01	1.951678e-03	1.951678e-03
8.000000e+00	9.000000e+00	6.127248e-01	2.430326e-03	2.430326e-03
9.000000e+00	1.000000e+01	6.255932e-01	2.962545e-03	2.962545e-03
1.000000e+01	1.200000e+01	6.398856e-01	2.738828e-03	2.738828e-03
1.200000e+01	1.400000e+01	6.553743e-01	3.953858e-03	3.953858e-03
1.400000e+01	1.600000e+01	6.625923e-01	5.438750e-03	5.438750e-03
1.600000e+01	1.800000e+01	6.745168e-01	7.173206e-03	7.173206e-03
1.800000e+01	2.000000e+01	6.658151e-01	9.411350e-03	9.411350e-03
2.000000e+01	2.400000e+01	6.775497e-01	9.677861e-03	9.677861e-03
2.400000e+01	2.800000e+01	6.822517e-01	1.423628e-02	1.423628e-02
2.800000e+01	3.200000e+01	7.137585e-01	2.014228e-02	2.014228e-02
3.200000e+01	3.600000e+01	7.441570e-01	2.965941e-02	2.965941e-02
3.600000e+01	4.000000e+01	7.063728e-01	3.677725e-02	3.677725e-02
4.000000e+01	4.400000e+01	6.999870e-01	5.260186e-02	5.260186e-02
4.400000e+01	4.800000e+01	6.917119e-01	4.809216e-02	4.809216e-02
4.800000e+01	5.200000e+01	8.022975e-01	9.983505e-02	9.983505e-02
5.200000e+01	5.600000e+01	7.591690e-01	8.859069e-02	8.859069e-02
5.600000e+01	6.000000e+01	7.982616e-01	1.332872e-01	1.332872e-01
6.000000e+01	6.400000e+01	9.051938e-01	1.712258e-01	1.712258e-01
6.400000e+01	6.800000e+01	7.864129e-01	2.471542e-01	2.471542e-01
6.800000e+01	7.200000e+01	1.014612e+00	2.478283e-01	2.478283e-01
7.200000e+01	8.000000e+01	7.790216e-01	1.470083e-01	1.470083e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/UE_with_without_MPI/without_MPI.yoda/CMS_2015_PAS_FSQ_15_007/d15-x01-y01
Title=without_MPI
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.238717e-01	2.043752e-04	2.043752e-04
1.500000e+00	2.000000e+00	1.583004e-01	3.202965e-04	3.202965e-04
2.000000e+00	2.500000e+00	1.770567e-01	4.458518e-04	4.458518e-04
2.500000e+00	3.000000e+00	1.857074e-01	5.685630e-04	5.685630e-04
3.000000e+00	3.500000e+00	1.910968e-01	6.828652e-04	6.828652e-04
3.500000e+00	4.000000e+00	1.961231e-01	8.097509e-04	8.097509e-04
4.000000e+00	4.500000e+00	2.021459e-01	9.417270e-04	9.417270e-04
4.500000e+00	5.000000e+00	2.087429e-01	1.089958e-03	1.089958e-03
5.000000e+00	6.000000e+00	2.123460e-01	9.214794e-04	9.214794e-04
6.000000e+00	7.000000e+00	2.183215e-01	1.176547e-03	1.176547e-03
7.000000e+00	8.000000e+00	2.280823e-01	1.484969e-03	1.484969e-03
8.000000e+00	9.000000e+00	2.372956e-01	1.855942e-03	1.855942e-03
9.000000e+00	1.000000e+01	2.374150e-01	2.218612e-03	2.218612e-03
1.000000e+01	1.200000e+01	2.533614e-01	2.103699e-03	2.103699e-03
1.200000e+01	1.400000e+01	2.721407e-01	2.985138e-03	2.985138e-03
1.400000e+01	1.600000e+01	2.851239e-01	4.132789e-03	4.132789e-03
1.600000e+01	1.800000e+01	2.988652e-01	5.530337e-03	5.530337e-03
1.800000e+01	2.000000e+01	3.116442e-01	7.225096e-03	7.225096e-03
2.000000e+01	2.400000e+01	3.391786e-01	7.342631e-03	7.342631e-03
2.400000e+01	2.800000e+01	3.529088e-01	1.125962e-02	1.125962e-02
2.800000e+01	3.200000e+01	3.937854e-01	1.742501e-02	1.742501e-02
3.200000e+01	3.600000e+01	4.087496e-01	2.708124e-02	2.708124e-02
3.600000e+01	4.000000e+01	3.999894e-01	2.584743e-02	2.584743e-02
4.000000e+01	4.400000e+01	4.395708e-01	3.975805e-02	3.975805e-02
4.400000e+01	4.800000e+01	4.429812e-01	5.935419e-02	5.935419e-02
4.800000e+01	5.200000e+01	4.158565e-01	4.815362e-02	4.815362e-02
5.200000e+01	5.600000e+01	4.440422e-01	9.100506e-02	9.100506e-02
5.600000e+01	6.000000e+01	5.007559e-01	8.286930e-02	8.286930e-02
6.000000e+01	6.400000e+01	6.138832e-01	1.439475e-01	1.439475e-01
