# BEGIN PLOT
LegendOnly=/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/PerBin.yoda/CMS_2015_I1384119/d01-x01-y01
DrawOnly=/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_I1384119/d01-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/PerBin.yoda/CMS_2015_I1384119/d01-x01-y01
YMax=9.0
Title=Selection: inelastic $pp$, charged hadrons (p, K ,$\pi$) $c\tau > 10$~mm
RatioPlotReference=/CMS_2015_I1384119/d01-x01-y01
RatioPlot=1
LogY=0
RatioPlotYMax=1.4
LegendXPos=0.5
XLabel=$\eta$ 
YLabel=$\frac{1}{N}\frac{dN_\text{ch}}{d\eta}$ 
YMin=0.0
LegendYPos=0.5
Legend=1
RatioPlotYMin=0.6
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_I1384119/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2015_I1384119/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.800000e+00	6.250000e+00	2.267157e-01	2.267157e-01
-1.800000e+00	-1.600000e+00	6.138000e+00	1.993038e-01	1.993038e-01
-1.600000e+00	-1.400000e+00	6.091000e+00	1.961632e-01	1.961632e-01
-1.400000e+00	-1.200000e+00	6.074000e+00	1.921666e-01	1.921666e-01
-1.200000e+00	-1.000000e+00	5.966000e+00	1.851729e-01	1.851729e-01
-1.000000e+00	-8.000000e-01	5.825000e+00	1.791368e-01	1.791368e-01
-8.000000e-01	-6.000000e-01	5.743000e+00	1.771384e-01	1.771384e-01
-6.000000e-01	-4.000000e-01	5.606000e+00	1.721424e-01	1.721424e-01
-4.000000e-01	-2.000000e-01	5.495000e+00	1.681458e-01	1.681458e-01
-2.000000e-01	0.000000e+00	5.412000e+00	1.691449e-01	1.691449e-01
0.000000e+00	2.000000e-01	5.412000e+00	1.691449e-01	1.691449e-01
2.000000e-01	4.000000e-01	5.495000e+00	1.681458e-01	1.681458e-01
4.000000e-01	6.000000e-01	5.606000e+00	1.721424e-01	1.721424e-01
6.000000e-01	8.000000e-01	5.743000e+00	1.771384e-01	1.771384e-01
8.000000e-01	1.000000e+00	5.825000e+00	1.791368e-01	1.791368e-01
1.000000e+00	1.200000e+00	5.966000e+00	1.851729e-01	1.851729e-01
1.200000e+00	1.400000e+00	6.074000e+00	1.921666e-01	1.921666e-01
1.400000e+00	1.600000e+00	6.091000e+00	1.961632e-01	1.961632e-01
1.600000e+00	1.800000e+00	6.138000e+00	1.993038e-01	1.993038e-01
1.800000e+00	2.000000e+00	6.250000e+00	2.267157e-01	2.267157e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_I1384119/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/CP5.yoda/CMS_2015_I1384119/d01-x01-y01
ScaledBy=2.22222222222222218e-07
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.800000e+00	6.156175e+00	2.615377e-03	2.615377e-03
-1.800000e+00	-1.600000e+00	6.104000e+00	2.604270e-03	2.604270e-03
-1.600000e+00	-1.400000e+00	6.033120e+00	2.589106e-03	2.589106e-03
-1.400000e+00	-1.200000e+00	5.941205e+00	2.569307e-03	2.569307e-03
-1.200000e+00	-1.000000e+00	5.836050e+00	2.546468e-03	2.546468e-03
-1.000000e+00	-8.000000e-01	5.723780e+00	2.521855e-03	2.521855e-03
-8.000000e-01	-6.000000e-01	5.610545e+00	2.496785e-03	2.496785e-03
-6.000000e-01	-4.000000e-01	5.508865e+00	2.474057e-03	2.474057e-03
-4.000000e-01	-2.000000e-01	5.436935e+00	2.457853e-03	2.457853e-03
-2.000000e-01	0.000000e+00	5.387190e+00	2.446583e-03	2.446583e-03
0.000000e+00	2.000000e-01	5.388620e+00	2.446907e-03	2.446907e-03
2.000000e-01	4.000000e-01	5.433625e+00	2.457104e-03	2.457104e-03
4.000000e-01	6.000000e-01	5.509980e+00	2.474308e-03	2.474308e-03
6.000000e-01	8.000000e-01	5.607605e+00	2.496132e-03	2.496132e-03
8.000000e-01	1.000000e+00	5.728640e+00	2.522926e-03	2.522926e-03
1.000000e+00	1.200000e+00	5.841650e+00	2.547690e-03	2.547690e-03
1.200000e+00	1.400000e+00	5.943280e+00	2.569756e-03	2.569756e-03
1.400000e+00	1.600000e+00	6.034215e+00	2.589340e-03	2.589340e-03
1.600000e+00	1.800000e+00	6.103770e+00	2.604221e-03	2.604221e-03
1.800000e+00	2.000000e+00	6.156065e+00	2.615353e-03	2.615353e-03
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_I1384119/d01-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_ext/Inverse.yoda/CMS_2015_I1384119/d01-x01-y01
ScaledBy=2.22222222222222218e-07
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
-2.000000e+00	-1.800000e+00	5.111230e+00	2.383095e-03	2.383095e-03
-1.800000e+00	-1.600000e+00	5.067655e+00	2.372915e-03	2.372915e-03
-1.600000e+00	-1.400000e+00	5.017335e+00	2.361105e-03	2.361105e-03
-1.400000e+00	-1.200000e+00	4.943169e+00	2.343589e-03	2.343589e-03
-1.200000e+00	-1.000000e+00	4.861077e+00	2.324048e-03	2.324048e-03
-1.000000e+00	-8.000000e-01	4.773281e+00	2.302964e-03	2.302964e-03
-8.000000e-01	-6.000000e-01	4.674648e+00	2.279046e-03	2.279046e-03
-6.000000e-01	-4.000000e-01	4.590774e+00	2.258508e-03	2.258508e-03
